,location,job_title,company,summary
46,Thành phố Hồ Chí Minh,Business Intelligence Analyst – HCMC,lalamove,"['Integrate, cleanse, migrate and manage data.', 'Excellent analytical skills and data mining.', 'To work with large amounts of data:', 'People talk about O2O, we live it.']"
47,Thành phố Hồ Chí Minh,Onboarding Analyst,Innovature Vietnam,"['Experience in performing data analysis and performance tracking.', 'This analyst will work closely with Recruiting, Client Delivery, and Operations department of U…']"
48,Thành phố Hồ Chí Minh,Chuyên Viên Phân Tích Số Liệu - Data Analyst ( Có Thể Nhận Việc Ngay hoặc Qua Tết Âm Lịch ),NHÀ PHÂN PHỐI THIẾT BỊ ĐIỆN PANASONIC,['Website tìm việc làm 123job cập nhật tin Chuyên Viên Phân Tích Số Liệu - Data Analyst ( Có Thể Nhận Việc Ngay hoặc Qua Tết Âm Lịch ) cách đây lúc 2019-12-12 11…']
49,Thành phố Hồ Chí Minh,Support Analyst,CSC,"['Works on problems of moderate scope in which analysis of situations or data requires a review of identifiable factors.', ""Bachelor's Degree in Computer Science/IT.""]"
50,Thành phố Hồ Chí Minh,Business Intelligence Analyst,Propzy,"['Strong data analysis skills and knowledge of Microsoft Excel, MySQL, Python, Power BI, Google Data.', 'Career track in Business Intelligence, Data Analytics.']"
51,Thành phố Hồ Chí Minh,Senior Data Analyst ( HCM),PT Commeasure Solutions Indonesia (Reddoorz),"['Substantial hands-on experience with data handling.', 'Comfortable working with multiple departments and help in their data needs.', 'Must haves – MS Excel, SQL.']"
52,Thành phố Hồ Chí Minh,INTERNS - RESEARCH DEPARTMENT,Viet Capital Securities,"['Learn to become an Analyst.', 'Technical skills to be taught include use of data terminals including Bloomberg, Reuters, S&P Capital and developing valuation…']"
53,Thành phố Hồ Chí Minh,Commercial Data Analyst,Ninja Van,"['As a Commercial Data Analyst, your duties & responsibilities are:', 'Mine data, clean data to devise and optimize our algorithms, models’ accuracy.']"
54,Thành phố Hồ Chí Minh,Financial Analyst,LONG ASIA GROUP,"['Analyze financial data – and create financial models for decision support.', 'Recommend actions by analyzing and interpreting data and making risk/return, cost…']"
55,Thành phố Hồ Chí Minh,Business Analyst,LogiGear,"['Create marketing and sales support collaterals such as service offerings, data sheets, presentations, and technical articles, etc.']"
56,Thành phố Hồ Chí Minh,Financial Intelligence Unit Analyst,CITI,"['To ensure timely submission of MCA and data points required by region and global teams.', 'The overall objective is to utilize established disciplinary knowledge…']"
57,Thành phố Hồ Chí Minh,Data Analyst,CÔNG TY TNHH DỊCH VỤ TRIỂN LÃM SES VIỆT NAM,"['Sound knowledge, work experience of quantitative and qualitative data analysis, data modelling, data research and report development.', 'Yêu cầu kinh nghiệm 1 năm.']"
58,Thành phố Hồ Chí Minh,Financial Analyst Specialist,Concung.com,"['Logical thinking, capable of data analysis and synthesise information.', 'Concung Corporation is an extremely fast growing company for mom & baby products with one…']"
59,Thành phố Hồ Chí Minh,Junior business analyst,Drive Agency,"['We are hiring, Business developer, business analyst, data analyst,.', 'We are hiring, Business developer, business analyst, data analyst,.', 'Việc làm đã hết hạn.']"
60,Thành phố Hồ Chí Minh,[Shopee VN] Business Analyst,Shopee,"['Understanding of data and database design, implementation, troubleshooting and maintenance.', 'Implement product research, market research, competitive analysis to…']"
61,Thành phố Hồ Chí Minh,Senior Data Analyst,Chợ Tốt,"['Mining data, data cleaning to devise and optimize our algorithms, models’ accuracy.', 'You will have the autonomy to lead data science projects and solve real life…']"
62,Thành phố Hồ Chí Minh,Data Intelligence Analyst,CÔNG TY TNHH NƯỚC GIẢI KHÁT COCA-COLA VIET NAM,"['Website tìm việc làm 123job.vn cập nhật tin Data Intelligence Analyst cách đây lúc 2020-02-24 10:20:01.', '# Bạn đang xem tin việc làm Data Intelligence Analyst…']"
63,Thành phố Hồ Chí Minh,Business Intelligence Analyst,TheCoffeeHouse,['2+ years working experience as Business Intelligence Analyst/ Data Analyst or any position that related to data and business analytics;']
64,Thành phố Hồ Chí Minh,Data Analyst,FOSSIL VIETNAM,"['Website tìm việc làm 123job.vn cập nhật tin Data Analyst cách đây lúc 2020-03-09 00:40:01.', 'Storytelling skills, able to provide insights from the data by using…']"
65,Thành phố Hồ Chí Minh,Data Analyst,C.T GROUP,"['Hồ Chí Minh Business Intelligent Data Science Data Warehouse Data Analysis Big Data MÔ TẢ CÔNG VIỆC - Phối hợp với các bộ phận khác để tiếp nhận, phân tích,…']"
